이름,유형,야간접근_현재,야간접근_조치후,필요조치,lon,lat,출처
이마트24 부산역아스티점,편의점,1.0,1.0,없음(이미 24시간),129.04185278987842,35.116003948709285,kakao
일팔경로당,경로당,0.1,1.0,★ 외벽 24시간 함체 설치,129.035183324594,35.1179815806378,kakao
부동산마트,마트,0.4,0.6,영업시간 외 외벽 함체 설치,129.038392290817,35.1115473415884,kakao
코사마트 새들슈퍼,마트,0.4,0.6,영업시간 외 외벽 함체 설치,129.039448402378,35.1171348593458,kakao
나들가게 신동마트,마트,0.4,0.6,영업시간 외 외벽 함체 설치,129.034439330704,35.1173488356169,kakao
신동슈퍼,마트,0.4,0.6,영업시간 외 외벽 함체 설치,129.039076340716,35.1147043532576,kakao
부산슈퍼 부산역점,마트,0.4,0.6,영업시간 외 외벽 함체 설치,129.03819057802264,35.113839711882186,kakao
나들가게 대일마트,마트,0.4,0.6,영업시간 외 외벽 함체 설치,129.036784129792,35.1108696660494,kakao
부영할인마트,마트,0.4,0.6,영업시간 외 외벽 함체 설치,129.036370417061,35.1152653290582,kakao
아웅산아시아마트,마트,0.4,0.6,영업시간 외 외벽 함체 설치,129.039820376305,35.1128750681073,kakao
신성상회,마트,0.4,0.6,영업시간 외 외벽 함체 설치,129.037662440937,35.1130663768702,kakao
축협알뜰마트,마트,0.4,0.6,영업시간 외 외벽 함체 설치,129.037032225799,35.1125975492727,kakao
부산중앙동4가우체국,공공시설,0.1,1.0,★ 외벽 24시간 함체 설치,129.0388701296572,35.111490639201335,kakao
애덕의집,경로당,0.1,1.0,★ 외벽 24시간 함체 설치,129.036890767056,35.1144923890497,kakao
예사랑노인복지센터,경로당,0.1,1.0,★ 외벽 24시간 함체 설치,129.04004921782527,35.113959831038144,kakao
빛과소금복지재단,경로당,0.1,1.0,★ 외벽 24시간 함체 설치,129.0373187773747,35.11679399596907,kakao
굿모닝주야간보호센터,경로당,0.1,1.0,★ 외벽 24시간 함체 설치,129.036394089174,35.1123829820231,kakao
GS25 초량차이나타운점,편의점,1.0,1.0,없음(이미 24시간),129.03820386691953,35.115297584515446,kakao
세븐일레븐 중앙센터점,편의점,1.0,1.0,없음(이미 24시간),129.038669953286,35.1101909120296,kakao
세븐일레븐 초량오거리점,편의점,1.0,1.0,없음(이미 24시간),129.038277600605,35.1166282760221,kakao
이마트24 부산역광장점,편의점,1.0,1.0,없음(이미 24시간),129.040506549748,35.1136520404137,kakao
서구종합사회복지관,공공시설,0.1,1.0,★ 외벽 24시간 함체 설치,129.026028806108,35.1111274688493,kakao
부산실버재가노인복지센터,경로당,0.1,1.0,★ 외벽 24시간 함체 설치,129.030775107533,35.1100170768222,kakao
효나눔노인복지센터,경로당,0.1,1.0,★ 외벽 24시간 함체 설치,129.031897440392,35.1132145511899,kakao
부산중구시니어클럽,경로당,0.1,1.0,★ 외벽 24시간 함체 설치,129.029554116047,35.1118579042114,kakao
중구노인복지관 분관,경로당,0.1,1.0,★ 외벽 24시간 함체 설치,129.032493854723,35.1102045425865,kakao
