TOT_OA_CD,ADM_CD,dong,oa_area_m2,cx,cy,entry_node,dist_station_m,p65,p75,p80,p75_2026,f_age,f_reach,risk,risk_norm,lon,lat
21030530020001,21030530,초량3동,25515.637340486537,386017.6320086762,282579.90174579027,436879864,571.3507876085898,126.0,56.0,33.0,45.28744939271255,0.1848184818481848,0.14580494651849085,0.026947448861503256,0.17008144917869392,129.040593,35.122396
21030530020004,21030530,초량3동,30286.371921061906,386027.81127043604,282328.4008255495,4833838942,324.8868204018039,114.0,46.0,25.0,37.2004048582996,0.15181518151815182,0.08290897028691763,0.012586840373591455,0.07944306944690513,129.040648,35.120128
21030530020002,21030530,초량3동,21925.41165637721,385981.6759879625,282444.1861971686,1478526240,348.4576519632267,139.0,57.0,30.0,46.09615384615385,0.1881188118811881,0.08892409078687218,0.016728294306441297,0.10558225947658458,129.040169,35.12118
21030530020005,21030530,초량3동,41238.615264467335,386401.2319654899,282892.5365995409,12545770811,651.2312993607948,52.0,22.0,10.0,17.791497975708502,0.0726072607260726,0.16618992540799019,0.012066595244144501,0.07615949162106864,129.04487,35.125141
21030530020003,21030530,초량3동,41798.913437597905,385841.79148980835,282527.11992466275,1478526244,508.52999439570357,163.0,69.0,48.0,55.800607287449395,0.2277227722772277,0.12977349509966662,0.029552380072201307,0.1865227263327354,129.038654,35.121953
21030530020006,21030530,초량3동,8785.070815353947,386266.5775621233,282616.0113650305,13423328185,724.9083474239773,145.0,120.0,102.0,97.04453441295547,0.396039603960396,0.18499182134560785,0.07326408766162687,0.46241342793847096,129.043331,35.122675
21030530020007,21030530,초량3동,36453.79839795777,386150.3652582876,282333.4891048765,436724842,65.57215393187461,363.0,303.0,251.0,245.03744939271257,1.0,0.0167335804981666,0.0167335804981666,0.1056156237907316,129.041993,35.120151
21030530020101,21030530,초량3동,7521.951110330608,386140.545016871,282471.7068564022,436871302,208.574268004389,113.0,45.0,13.0,36.391700404858305,0.14851485148514854,0.053226775303488016,0.007904966629230894,0.04989296711977521,129.041917,35.121398
21030530020102,21030530,초량3동,5252.708764525737,386061.1667331068,282476.44834822626,1478526240,348.4576519632267,64.0,21.0,8.0,16.982793522267208,0.06930693069306931,0.08892409078687218,0.006163055797109953,0.0388987271755838,129.041047,35.121456
21030530020103,21030530,초량3동,5115.422992574206,386087.58195978956,282542.93108316994,436872936,492.8944119316955,67.0,13.0,7.0,10.513157894736842,0.0429042904290429,0.12578339774722908,0.0053966474280989375,0.03406146607773303,129.041352,35.12205
21030530020401,21030530,초량3동,11871.779880250346,385889.63326607697,282719.09487228346,436798152,652.1677711627879,90.0,34.0,14.0,27.49595141700405,0.11221122112211221,0.1664289068253033,0.01867519086488552,0.11787028680574128,129.039221,35.123673
21030530020402,21030530,초량3동,10255.13079304621,385801.80789696355,282761.5660452801,1478526248,770.4135320074139,43.0,11.0,6.0,8.895748987854251,0.0363036303630363,0.1966044438332263,0.00713745505665178,0.04504874304511109,129.038268,35.124072
21030530020501,21030530,초량3동,4609.513576783774,385970.16053995484,282660.594902257,436879864,571.3507876085898,61.0,13.0,5.0,10.513157894736842,0.0429042904290429,0.14580494651849085,0.006255657771420399,0.039483193559339665,129.040091,35.123131
21030530020504,21030530,초량3동,5034.010029895285,386032.3304770447,282758.6495291592,1478531044,791.8354960128544,71.0,25.0,14.0,20.21761133603239,0.08250825082508251,0.20207118752882444,0.01667254022515053,0.10523036215998526,129.040795,35.124003
21030530020502,21030530,초량3동,4318.016543429159,385992.0220822738,282713.5744913475,7142059085,763.5543713170966,38.0,12.0,0.0,9.704453441295547,0.039603960396039604,0.1948540313383046,0.007716991340130875,0.04870654276679726,129.040343,35.123604
21030530020503,21030530,초량3동,3477.5912117980815,386077.9938141947,282789.7521226082,1478526264,806.1303535852279,48.0,12.0,0.0,9.704453441295547,0.039603960396039604,0.20571914074606445,0.008147292702814434,0.05142243174481994,129.041302,35.124275
21030550010007,21030550,초량6동,35645.39560047289,385474.0818316606,282791.1340278421,436840213,1162.1709690754437,219.0,104.0,64.0,119.34030197444831,0.48702882873705544,0.2965783537301633,0.14444220824596554,0.9116610714174318,129.034681,35.124399
